news_id,category,subcategory,content
N18680,health,health-news,"Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria. A Michigan produce company has recalled nearly 2,300 cases of fresh apples that could be contaminated with listeria."
N55610,lifestyle,lifestyleroyals,Kate Middleton's Best Hairstyles Through the Years. The Duchess of Cambridge knows her way around an updo.
N35621,entertainment,celebrity,Stars who got fired from major projects. Take a look back at the celebs who got the boot from major movies and TV shows.
N22850,travel,travelarticle,"Newark Liberty Airport's Terminal One a $2.7 billion 'transformative' project. The project, which is the bi-state agency's single-largest investment in the state, is projected to be completed in 2022."
N58173,autos,autossuvs,"Is This The 2021 GMC Yukon Denali?. A Motor1.com reader sent this to us, and it sure looks legit."
N29120,sports,football_nfl,"John Dorsey admits talks with Washington, but it ""takes two to tango"". Team officials in Washington ""emphatically"" denied a rumor of a Trent Williams trade to Cleveland, according to a report Tuesday. A day later, Browns General Manager John Dorsey admitted publicly he has talked to Washington president Bruce Allen. ""We've had a few conversations,"" Dorsey said, via Mary Kay Cabot of the Cleveland Plain Dealer. ""It [more]"
N9786,news,newspolitics,"Elijah Cummings to lie in state at US Capitol Thursday. Cummings, a Democrat whose district included sections of Baltimore, died last week at age 68 from complications related to longstanding health issues."
N47705,travel,traveltripideas,"17 Abandoned Theme Parks to Explore for Thrills, Chills, and Nostalgia. Disney, Six Flags, and even the Flintstones have had amusement parks that succumbed to disasters, bad press, and shifting entertainment markets. But for the adventurous, abandoned theme parks, whether in California, Florida, or Ohio, can be fascinating places to explore   if you dare."
N3574,autos,autosnews,"Ford Bronco Test Mule Spotted Flexing Its Muscles in Australia. It still won't be offered in the Land Down Under, however."
N42474,news,newsbusiness,"Trump's Trustbusters Bring Microsoft Lessons to Big Tech Fight. DOJ's Makan Delrahim and the FTC's Joe Simons have agreed to divide Google, Facebook, Amazon, and Apple between them."
N64498,sports,golf,PGA Tour winners. A gallery of recent winners on the PGA Tour.
N7517,lifestyle,lifestylepetsanimals,"10 Things You Never Knew About Owls. With their huge eyes, sharp talons, and swiveling heads, owls are mysterious creatures."
N63665,foodanddrink,recipes,25 Last-Minute Ideas That Will Absolutely Save Your Holiday Dinner. These last-minute ideas will make you excited for the (sometimes-stressful) holiday. The post 25 Last-Minute Ideas That Will Absolutely Save Your Holidays appeared first on Taste of Home.
N59469,lifestyle,lifestyleroyals,"Every outfit Duchess Kate has worn in 2019. See Kate Middleton's style choices this year from glam gowns and coat dresses to re-wears, tiaras and hats."
N57356,news,newsscienceandtechnology,"New iPad Pro 2019 release date, price, news and leaks. Apple is likely gearing up to release a new series of iPad Pro tablets, so this is what we know and what we want to see."
N15926,health,weightloss,These Simple Diet Changes Helped This Guy Lose 75 Pounds in 9 Months. The part of me that knew I had to make changes took control.
N43620,news,newsworld,"Without help from US, UN climate fund struggles to meet goal. Rich countries gathered Thursday in France to discuss replenishing an international fund that is meant to help poor nations tackle climate change, but which is falling short of its targets because the U.S. has stopped contributing."
N60603,entertainment,gaming,"Best PS4 games 2019: play great PlayStation 4 games. These are the best PS4 games available today, from Sony's awesome exclusives to third-party must plays"
N40078,tv,tv-gallery,"The 23 Best TV Reboots of All Time. These TV reboots are the best in their class. Find out which show revivals outshine the competition, or even steal the spotlight from their own originals."
N61409,news,newsscienceandtechnology,"Netflix hackers: Why they steal passwords. Netflix accounts don't really offer the selling potential stolen Facebook accounts do, but they still tempt a subset of hackers."
N46013,foodanddrink,recipes,20 Must-Try Gravy Recipes for Your Thanksgiving Feast. Turkey just isn't the same without it.
N50643,weather,weathertopstories,"A little snow causes a big mess, more than 100 crashes on Minnesota roads. A snowfall of a mere one-tenth of an inch caused way more than its share of damaged cars and rattled drivers early Saturday, with 118 crashes reported between 6 a.m. and 11:30 a.m., according to the Minnesota State Patrol. Another 22 vehicles spun out or slid off the slick roads, said State Patrol spokesman Lt. Gordon Shank. No weather-related fatalities were reported. Although 18 people were ..."
N60723,news,newsworld,Extinction Rebellion wins court challenge against London police. A blanket ban against the climate change activist's 10-day demonstrations across London in October was ruled unlawful.
N63175,sports,basketball_nba,"LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship. NBA Finals MVP Kawhi Leonard and other Clippers say they are used to taunts and booing from Lakers fans, who are ""like a religion"" in Tinseltown."
N22028,lifestyle,lifestylebuzz,"Mom with schizophrenia, 6-year-old daughter missing in Queens. "
N8795,lifestyle,shop-all,"5 Things You Probably Shouldn't Be Buying from Costco. Bigger isn't always better, and some items sell for way cheaper at the supermarket than the warehouse."
N43647,news,newsphotos,POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee. We've combined Insider polling and results of Morning Consult's daily survey to create a weekly power ranking of the potential 2020 candidates.
N41835,news,newsworld,Today in History: November 2. 
N8071,lifestyle,lifestyleroyals,"25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home. The royal family has been visiting the Scottish estate for more than a century."
N26926,lifestyle,voices,"I'm Afraid to Tell My Male Bosses I'm Pregnant. Women with children are considered less competent than those without. The longer I can pretend I'm one of the women without, the better."
N49265,foodanddrink,recipes,These Cranberry Sauce Recipes Are Perfect for Thanksgiving Dinner. You'll never want the store-bought version ever again.
N5124,sports,basketball_ncaa,"Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility. Uros Plavsic, a redshirt freshman who transferred from Arizona State after a coaching change, will not be allowed to suit up for the Vols this season."
N42777,lifestyle,lifestyleroyals,"Prince George's Royal Life in Photos. Photos of the future king of England   who is third in line for the throne, behind his father and Prince Charles."
N41387,tv,tv-gallery,"Can you answer these real Jeopardy questions about TV shows?. Culling data straight from the ""Jeopardy!"" archives, Stacker will provide a ""clue"" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real ""Jeopardy!"" questions about TV shows?"
N41106,sports,golf,"Randall's Rant: Is Tiger already the GOAT without 18 majors?. We may never understand what Tiger Woods has gone through off the golf course, but even so, does that make him the GOAT without 18 majors?"
N37243,finance,finance-real-estate,The 25 most desirable places to live in the US in 2019. Check out where U.S. residents would live if they could.
N20139,foodanddrink,quickandeasy,40+ Stuffed Pasta Recipes You'll Want To Make Every Night. Stuff yourself.
N9680,tv,tv-celebrity,'Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick. The mom of two opened up to ET about her dating life in August.
N35518,health,voices,"I'm Sorry, But Please Do Not Put Your Purse On My Couch. Welcome to my house, please drop your bag right there."
N60434,lifestyle,lifestyleroyals,It's Not All About the Corgis - Here Are the Royal Family's Other Beloved Pets. We all know how much Queen Elizabeth loved her Corgis.
N48239,autos,autosenthusiasts,"2020 Toyota Supra GT4 details announced, makes 429 horsepower. It goes on sale next year"
N40045,travel,travelnews,Tim Burton's Original Art Is on Display at the Neon Museum in Las Vegas. A rare retrospective dedicated to the filmmaker's eccentric style marks the first time in nearly a decade that his artworks have been on display in the United States.
N43946,movies,movies-gallery,"16 Live-Action Disney Movies in the Works After 'Maleficent: Mistress of Evil' (Photos). The studio is raiding its vault to remake classics including ""Mulan"""
N10836,foodanddrink,tipsandtricks,"100 Genius Tips that Will Make Your Holidays So Much Better. From grocery shopping to cooking to using up the leftovers, we've assembled expert tips to help you through the holiday season."
N49585,travel,traveltripideas,"What's new in Germany and the Low Countries for 2019. Germany is famously a work in progress-- as are the nearby Low Countries-- and that includes their sightseeing attractions. In 2019, there's good news and a few important warnings for the smart traveler. To handle its ever-increasing number of visitors, Germany is busy renovating sights and..."
N24798,lifestyle,lifestylebuzz,"Millennials are killing purse sales and replacing them with backpacks. Sales of women's backpacks are consistently rising, experts say."
N64668,autos,autosbuying,"23 Things Car Dealerships Don't Want You To Know. With these secrets, you can get the best deal."
N27435,sports,more_sports,"Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season. What a way to begin the season for the Phoenix Suns, winning 124-95 over the Kings."
N3395,tv,tv-gallery,"TV shows we're most excited about for the rest of the year. From HBO originals like ""His Dark Materials"" to the new season of Netflix's ""The Crown,"" here are some of the shows we can't wait to watch."
N53133,lifestyle,shop-apparel,The Absolute Best One-piece Bathing Suits of 2019. One-piece bathing suits are arguably the best kind you can wear them with jeans once summer is over. Here are the best and trendiest one-pieces to buy.
N30702,lifestyle,voices,"40 Things I Wish I Could Tell My Younger Self. From celebrities to scientists, doctors to artists, we asked some very successful people to share what they wish they had known when they were younger. You and your kids get all the great advice no time machine needed! The post 40 Things I Wish I Could Tell My Younger Self appeared first on Reader's Digest."
N14538,autos,autostrucks,"Why Is This Weird Chevy Colorado Test Mule Trolling Ford HQ?. It could be a Bronco test vehicle wearing a Bow Tie disguise, but some things don't add up."
N37188,lifestyle,lifestyledidyouknow,"20 Words and Phrases You Had No Idea Were Coined in New York City. Hey, youz! Check out all these vocab gems that were born in New York City! The post 20 Words and Phrases You Had No Idea Were Coined in New York City appeared first on Reader's Digest."
N1032,sports,racing,All of Kevin Harvick's Monster Energy Series victories. Recap all of Kevin Harvick's Monster Energy NASCAR Cup Series wins throughout his career in the sport's top series.
N30953,foodanddrink,newstrends,PCC Community Markets Plans Its First Fast Casual Restaurant Inside New Ballard Store. The massive PCC outpost will open November 13
N10886,foodanddrink,restaurantsandnews,"Where to Find a Good, Cheap Sandwich in Every State. Have a craving for a great sandwich? These 50 restaurants have you covered whether your favorites include classic subs, Mexican tortas, Vietnamese banh mi, or old-fashioned barbecue. Take a look at what's available in your state and check out the unique combinations diners are enjoying all across the country."
N52386,foodanddrink,restaurantsandnews,16 major chains where you can buy plant-based versions of your fast-food favorites. Plant-based burgers are coming into the mainstream. Here are the chains where you can buy the Beyond Burger and the Impossible Burger.
N22218,lifestyle,lifestylemindandsoul,"Do You Hate Meditating? So Do These People, But They Do It Anyway. We all know we should meditate; from mitigating chronic pain to easing the physical symptoms of anxiety, meditation has long been touted as a panacea for the people. In fact, meditation is the fastest-growing health trend in the U.S., and with new apps and retreats being introduced every day, it doesn't look like it's slowing"
N57388,sports,baseball_mlb,So far the World Series is one big reminder that you can't predict October baseball. You only needed to stand by the exit of Minute Maid Park for a few minutes in the eighth inning of World Series Game 2 to know what Astros fans thought of the mauling that was still taking place.
N30389,entertainment,celebrity,40 Celebrity Mothers and Daughters at the Same Age. These are some good genes.
N16104,foodanddrink,restaurantsandnews,The Top 50 Fast Food Restaurants in America. Find out how your favorite fast food joint stacks up against the rest.
N25540,finance,finance-saving-investing,"Take heart, millennials: Investing is within your reach. News headlines might lead you to believe that millennials are striking out on a growing list of financial accomplishments."
N51343,video,viral,"Viral college football fan under fire for past offensive tweets. Carson King, who held up a sign on television asking for ""beer money,"" has raised $2 million for a children's hospital. This comes as his past offensive tweets were revealed in a newspaper profile. NBC's Molly Hunter reports for Weekend TODAY."
N60774,video,viral,"Watch this priest perform a 'spirited' dance at pep rally. A priest in Fort Lauderdale, Florida, walked onto the scene as a cheer squad was performing a routine at a pep rally, and proceeded to give a whole new meaning to the term school spirit! TODAY's Hoda Kotb has your Morning Boost."
N37129,finance,finance-taxes,Don't Be Like These Celebrities Convicted of Tax Evasion. These celebs were in hot water with the taxman.
N64723,sports,football_nfl,"All eyes on Drew Brees as possibility of return nears. Will this be the week Drew Brees returns as the Saints starting quarterback? ""That's the plan, we'll see,"" Brees responded when he was asked Wednesday about playing Sunday against the Arizona Cardinals. Brees had surgery to repair a ligament in his right thumb on Sept. 18. During Wednesday's walk-through practice Brees could be seen flexing his thumb, which was still in a brace. We will see what Brees' participation in the walk-through was after..."
N3080,foodanddrink,newstrends,"Restaurants to Satisfy Late Night Cravings in Louisville and Beyond. Maybe you need a tasty meal to eat after a long night of drinking and having fun, or perhaps you work the late shift. Either way, a restaurant that's open 24 hours or close to it is what you need. Here are restaurants where you can get a bite late at night or very, very early. See what Louisville has for night owls."
N40494,lifestyle,lifestyleroyals,"Cutest photos of the royal Cambridge kids. See the best photos of Prince George, Princess Charlotte and Prince Louis!"
N15839,autos,autossuvs,2021 Cadillac Escalade's Interior Spied for Real. The next-gen SUV will be getting a large curved touchscreen atop the dashboard.
N19163,autos,autosenthusiasts,"Veneno Roadster, One:1, One-77, LaFerrari, P1, Veyron headline 25-car Bonham's auction. Stunning collection was seized by European authorities."
N13343,lifestyle,lifestylebeauty,46 Mismatched Nail Ideas You'll Want to Copy Immediately. Why wear one shade when you can wear them all?
N60852,weather,weathertopstories,In Photos: Flooding across the globe. Millions of people have been displaced from their homes after torrential rains triggered floods and landslides across the globe.
N61864,news,newsopinion,The News In Cartoons. News as seen through the eyes of the nation's editorial cartoonists.
N36064,finance,finance-companies,"More store closings coming: The list of retailers closing locations in 2019. More than 10 months into 2019, more than 8,600 stores are slated to close and more closings are expected. Is your favorite store closing?"
N35788,autos,autosnews,Extreme Jeep Wrangler Prototype Caught Testing in Michigan. Could this be a peek at a future Wrangler variant with even more off-road capability?
N61167,movies,movies-gallery,Must-see biopics. Take a look at the greatest true-life biographical stories on the big screen.
N27190,sports,football_nfl,"Redskins place TE Jordan Reed on injured reserve, ending his season. The Redskins are calling it quits on the season for Jordan Reed, placing him on the IR as he continues to battle back from a concussion."
N9035,sports,football_nfl,"NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games. Another week has passed and still the New England Patriots and San Francisco ers remain undefeated. That very well could change in Week though particularly for the Patriots who have"
N19651,lifestyle,lifestyleshopping,"27 products you only need to buy once in your life. Here are all of the brands with true lifetime warranties that will replace, repair, or refund you for your purchase, at any time."
N22957,foodanddrink,restaurantsandnews,Ranking 26 fast-food fried-chicken sandwiches (including Popeyes). The world has been abuzz this week with talk of Popeyes fried chicken sandwich. But how does it stack up in a packed field of competitors? Nick Kindelsperger of the Chicago Tribune offers up his view.
N63006,finance,finance-savemoney,17 Surprising Ways Penny-Pinching Costs You More. Frugal living could end up costing you in the long run.
N5159,travel,traveltripideas,The Fascinating Story Behind Where 'Hocus Pocus' Was Filmed. You can visit Max and Dani's home ... if you dare.
N47685,health,mentalhealth,Early symptoms of dementia: Be aware of subtle signs. Would you be able to recognize the symptoms of this creeping affliction?
N44720,news,newsus,"Man killed in officer-involved shooting in St. Louis. A man was killed in an officer-involved shooting Sunday morning, according to the St. Louis Metropolitan Police Department. It happened near 13th and Clinton. Police said they tried to pull over the man for a traffic violation, which led to a short chase. Eventually the car ran over an obstruction, causing a crash. St. Louis police said the man ran off and officers used a taser to try to stop him, but they said he pulled out a weapon and pointed..."
N55024,lifestyle,lifestylesmartliving,"40 Etiquette Mistakes You Need to Stop Making by Age 40. From errors you make on the phone to rude things you do with your significant other, clean up your act by ditching these etiquette mistake in your 40s."
N44162,sports,football_nfl,"Patriots vs. Ravens: 3 keys to the game, fun facts, prediction. Finally, the Patriots will play a real game against a legitimate opponent. For the first time since Week 4, the Patriots should play in a compelling game, as they will take on the Ravens on the road Sunday night. While the Patriots are 8-0 on the year, the Ravens are 5-2 and coming off their bye. In their last game, they had one of the better wins of the season by going into Seattle and coming away with a 30-16 win. Lamar Jackson is also one of..."
N52683,health,fitness,14 Celebs Over 50 Who Are In The Best Shape Of Their Lives. A list of celebs over 50 who take health and fitness very seriously   and it shows!
N8185,autos,autosclassics,The Oldsmobile Toronado - was it the ultimate personal car?. The first front-drive American car for 30 years remains an intriguing prospect today
N1358,video,news,"With impeachment inquiry 'concerns' getting addressed, GOP have nowhere to go. Joe Scarborough lists through the complaints Republicans have been rattling off about the impeachment inquiry, including the need for a direct source and a process vote. With both things now on the table, it's a very bad day for the Trump Republicans."
N39817,lifestyle,shop-all,"28 Surprisingly Good Costco, Walmart, and Target Products. If you know Costco, Walmart, and Target best for store-brand food bargains, don't overlook these household products. Whether you're in the market for cleaning products, home decor, or men's and women's clothing, shoppers can find store-brand versions that deliver the goods at budget prices."
N54799,health,fitness,"17 Low-Impact Workouts You Should Try If You're Not In Your 20s Anymore. These exercises will make you sweat, but won't injure you!"
N34169,lifestyle,lifestyleroyals,"When royals lose their tempers, from the Queen to Kate Middleton. See all the times the royal family have lost their tempers in public."
N33303,finance,finance-career,"25 Hot Jobs That Pay More Than $100,000 a Year. Landing a six-figure salary is easy with these careers."
N51340,lifestyle,lifestyleroyals,Queen Elizabeth's Cousin Says Royal Family 'Don't Communicate Very Well'. Queen Elizabeth's Cousin: Royal Family 'Don't Communicate Very Well'
N46021,health,medical,"12 ways your skin can react to stress, according to a dermatologist. Stress can play a big part in your skin's overall health. From acne to sweat, we asked an expert for some ways that stress can affect your skin."
N13855,news,newsus,"Ikea US president backpedals on meeting parents of children killed by recalled dressers. After inviting the parents of children who died in tip-overs of Ikea dressers to meet with him, Ikea's US president has refused to set a date."
N16556,news,newsus,"Multi-vehicle accident on I-64 in James City County causes miles-long backup. Multiple vehicle accidents on Interstate 64 in James City County shut down lanes and caused traffic headaches for drivers on Saturday. The accidents occurred near Camp Peary and Barlow Road, according to VDOT. Drivers were stuck in traffic for hours and backups by 1 p.m were around 6 miles long. VDOT is advising drivers to avoid the area if possible especially at mile markers 235 and 238. As of 1 p.m., all west lanes are back open. Virginia..."
N22679,sports,golf,"Dissecting the softer, gentler Tiger Woods. The truth is that Tiger has been a nicer person than he has received credit for."
N24423,foodanddrink,quickandeasy,"39 Appetizers for a Crowd That Are Easy and Unexpected. Whether you're hosting a dinner party or an impromptu gathering, you're going to need snacks. Here are 39 appetizer recipes for a crowd that are easy to make and even easier to eat."
N20084,lifestyle,lifestylehoroscope,How To Guess Someone's Zodiac Sign. Do you have what it takes to guess?
N18393,lifestyle,lifestylehoroscope,"What Men Find Attractive According To Their Zodiac Sign. A debate that comes up time and time again, what do men like?"
N7141,sports,football_nfl,"Rams Week 8 snap count analysis. The LA Rams' game plan involved a lot of Cooper Kupp, and not so much Gerald Everett in their Wembley win"
N11663,news,newsgoodnews,"These College Friends Pledged To Stay In Touch---60 Years Later, They Still Do. Since 1956, a tight-knit group of sorority sisters have helped each other through weddings, careers, children and old age by writing letters; 'Our letters reflect the seasons of our lives so much.'"
N55435,sports,football_ncaa,Photos of College Football Cheerleaders. Photos of College Football Cheerleaders
N39173,finance,retirement,5 reasons Gen Xers are struggling with retirement savings. And what to do about them.
N33874,lifestyle,voices,"The Most Important Things Fatherhood Has Taught Me About Being a Man. They don't want the 'pretend you have it all together' version of me, they simply want me. To be present. To be engaged. To be there. To be real."
N44661,lifestyle,lifestylehomeandgarden,Fall Home Maintenance Checklist: 20 Things to Do Every Year. Feel that nip in the air? Fall has arrived! Here's how to get your home and yard ready for winter before it's too late.
N41976,health,ads-lung-health,"Study: Third-Hand Smoke Can Damage Your Lungs. Third-hand smoke is the residual chemicals, including nicotine, that tobacco smoke imparts to indoor surfaces, vehicles, clothing, and hair."
N36820,finance,personalfinance,"Toad, Pasta and Other Unusual Names for Money Around the World. Learn the ever-evolving slang for money across the globe."
N54727,lifestyle,lifestyleroyals,"The surprising age differences between your favorite royal couples. Here are the age differences between Meghan Markle and Prince Harry, Prince William and Kate Middleton, and other famous royal couples."
N11683,finance,finance-top-stocks,"BP profit beats as strong refining offsets lower oil price. BP Plc reported profit that beat analyst estimates as a strong refining performance offset the effect of lower oil and natural gas prices, and bad weather that curbed production. The positive result will please investors expecting a gloomy third quarter for Big Oil. Crude prices have fallen as the U.S.-China trade war stokes demand concerns, while American output has continued to flood the market. ""BP delivered strong operating cash flow and..."
N19401,autos,autosnews,Best website defacement monitoring service of 2019. Keep a watchful eye out for unauthorized tampering with your website by using these tools.
N31442,foodanddrink,quickandeasy,"How to Take Chicken Breasts From Frozen to Shredded in an Instant. When I have boneless, skinless chicken breasts in my freezer, I like to make a batch of shredded chicken in the Instant Pot straight from frozen and turn it into all manner of meals throughout the week."
N47214,news,newspolitics,"Here are the lawmakers who are not seeking reelection to Congress in 2020. The battle for control of Congress is more than a year away but some lawmakers are already deciding not to run for reelection, setting up a few potentially interesting campaigns in the 2020 election."
N31402,foodanddrink,restaurantsandnews,"The Best Seafood Restaurant in All 50 States. Think there are too many seafood places in Maine to choose among, but none in landlocked Nebraska? This list will point your cravings and more in the right direction. Whether it's shrimp, crab, fish, or sushi that you love, even the most landlocked states have top-notch options for seafood. Find out what's near you."
N61358,health,nutrition,5 Foods That Can Actually Help Prevent Gray Hair. Don't say goodbye to your natural color just yet.
N48632,finance,personalfinance,How much you must earn to be in the top 10% in your state. See what the highest earners in your state make.
N57699,health,wellness,"Ahad Israfil, gunshot wound survivor, dies. Ahad Israfil, a Dayton man known for his remarkable recovery story after a gunshot wound to the head in 1987, has died."
N27214,foodanddrink,recipes,19 Super Delicious Fall Soups Made From Scratch to Try Now (Including Pumpkin!). Slurp away!
N25174,weather,weathertopstories,"Winter Storm Warning For Metro Denver, Boulder: Update. "
N51426,music,musicnews,"Kanye West's 'Jesus is King' album still isn't here, fans aren't happy. Kanye West originally announced ""Jesus is King"" would drop Friday. Then he rescheduled for Sunday. The album still isn't here, and fans aren't happy."
N41013,news,newsopinion,"Doug Schoen: Hillary vs. Trump in 2020? If Clinton is serious, here's best way for her to defeat the president. Even when she is out of the running for president, Hillary Clinton is still one of the most prominent voices in the Democratic Party."
N19888,sports,football_nfl,"Titans force 4 turnovers by Winston, hold off Buccaneers. The Tennessee Titans rallied to beat the Tampa Bay Buccaneers 27-23 Sunday for their second straight win."
N45191,lifestyle,shop-all,Amazon Says These Are Its Funniest Customer Reviews. 
N60535,sports,football_nfl,"Josh Gordon, New Patriots Receiver Mohamed Sanu Share Laugh At Practice. Josh Gordon and Mohamed Sanu were all smiles Wednesday at Gillette Stadium -- and who can blame them Sanu officially joined the New England Patriots on Wednesday following his trade from the"
N47600,lifestyle,causes,People Told My Daughter With a Disability She Wouldn't Be Able to Do Everything She Does Today. I wish I had a dollar for every time someone told me that diagnosis is just a word.
N35318,news,newsoffbeat,"It's illegal to leave your pumpkins outside in Maricopa County. 'Tis the season for carving faces and other designs into pumpkins before putting candles inside the rotting ghords to celebrate Halloween. It's a wonderful tradition which comes with a very important caveat in many Arizona counties. ""Putting out a pumpkin for a javelina is definitely feeding wildlife,"" said Amy Burnett with Arizona game and Fish. Leaving your pumpkins outside in Maricopa County is illegal and you could be fined for doing do. The..."
N11360,health,nutrition,This is how much water you need to drink for weight loss. Drinking plenty of water is one of the major tenets of weight loss. But just how much water is enough? Here's how you can drink water to lose weight.
N13566,lifestyle,lifestylepetsanimals,30 Least Expensive Dog Breeds. These 30 pups have friendly price points.
N24417,sports,basketball_nba,Cavs could put claim on Alfonzo McKinnie after surprising release from Warriors. The Cleveland Cavaliers may be picking up a piece from their longtime rivals.
N59891,news,newsworld,"Maryland police ID man killed in crash of semi hauling beer. NORTH EAST, Md. (AP)   Maryland state police have released the identity of a semitruck driver who was killed over the weekend when his vehicle overturned on Interstate 95. The News Journal of Wilmington reports 32-year-old Benjamin Pula died in the Sunday morning crash near North East and Rising Sun. The newspaper says Pula's LinkedIn page says he was a semitruck driver based in Greensboro, North Carolina, where he also helped manage a dairy..."
N30236,sports,tennis,American teenager Gauff reaches maiden WTA final in Linz. American teenager Gauff reaches maiden WTA final in Linz
N64593,health,nutrition,"An avocado a day could lower your 'bad' cholesterol levels and reduce your risk of heart disease. Bad cholesterol means LDL (low-density lipoprotein), and having too much can clot arteries and lead to heart problems."
N45970,news,newsworld,"The Latest: House measure condemns Trump's Syria withdrawal. President Donald Trump said Wednesday that U.S. troops are ""largely out"" of a region of Syria where Turkish forces are attacking the Kurdish fighters who were America's allies in fighting the Islamic State group. (Oct. 16)"
N54542,autos,autosnews,Police searching for thief stealing cars at Atlanta airport. Atlanta police are searching for a car thief who they say has been targeting cars at Hartsfield-Jackson Atlanta Airport.
N30290,foodanddrink,restaurantsandnews,The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu. It's something of an underdog story.
N51844,foodanddrink,recipes,29 Thanksgiving Menus That Will Make November So Much Easier. Be ahead of the carve and give thanks for these delicious Thanksgiving dinner menu options.
N7992,travel,travelnews,You can now stay in a giant guitar-shaped hotel that you have to see to believe. Want to sleep in a building shaped like a guitar? The Seminole Hard Rock Hotel & Casino in South Florida is taking things to the next level.
N49374,lifestyle,lifestyleroyals,Princess Beatrice's fashion hits and misses over the years. See all the style highs and lows from the British royal.
N14176,foodanddrink,videos,"Blueberry Dump Cake Satisfies Every Sweet Tooth. Dump cakes are the perfect, easy summer desserts and stress free!"
N60584,health,weightloss,"Those Grueling Workouts May Not Help You Lose Belly Fat, but Here's What Will. If you're trying to lose weight, you're probably doing it to look and feel good, but shedding belly fat, specifically, can also improve your health."
N10,health,weight-loss,7 Running Workouts for Weight Loss. It's all about the fartleks.
N46830,video,news,"'This is not normal': Sen. Manchin reacts to Vindman attacks. Sen. Joe Manchin, D-W. Va., weighs in on the personal attacks against Lt. Col. Alexander Vindman, calling them 'despicable.' Sen. Manchin also discusses the bankruptcy reform bill Stop Looting American Pensions' Act."
N41147,entertainment,gaming,This Sony PS5 feature could end the PlayStation vs Xbox battle once and for all. Can't figure out how to get to scale the wall and reach the helicopter? PlayStation Assist may be able to help
N61914,finance,finance-career,"50 Great Jobs for Retirees. Retirement doesn't necessarily mean that work stops. For many retirees, work is a financial necessity, while others continue working for social reasons. Seniors can build on their previous careers or branch out into a new area they've always enjoyed. Check out these employment ideas to see which might be best for you."
N21253,lifestyle,lifestylecareer,"5 Incredible, Research-Backed Benefits of Having a Passion Outside Work. Science to professionals: seriously, get a hobby already."
